run,learning_rate,weight_decay,warmup_steps,batch_size,seed,acc,macro_f1,roc_auc
run1,0.004441271691759532,0.003010946853271101,630,32,9733,0.816572504708098,0.44951275139954383,0.5054071921622706
run2,0.0004670811241673833,0.004309263518577386,431,16,4524,0.18342749529190208,0.15499681731381285,0.41973317320442194
run3,5.8755600228152977e-05,0.01607238977822873,727,32,8193,0.7589453860640302,0.6275396221385959,0.7290740053191086
run4,1.112583928657757e-05,0.08830949506699835,781,32,2179,0.7653483992467043,0.6376835086103737,0.6574014790455912
run5,8.48514617658515e-05,0.09713295496731393,591,32,5496,0.7943502824858757,0.6869725761174692,0.8179142956727309
run6,5.3926579830898544e-05,0.0026940035332677177,129,8,2088,0.8030131826741996,0.6780743044377299,0.7918008440864697
run7,0.0003321572222581882,0.02609770895961815,1000,8,6192,0.18342749529190208,0.15499681731381285,0.3673329443766717
run8,1.0628093517607648e-05,0.0005022966760066458,404,16,2293,0.7559322033898305,0.6495089490891193,0.7699845427612387
run9,0.0003402755390861636,0.0031630414066848513,490,8,6548,0.18342749529190208,0.15499681731381285,0.4491549663956599
run10,0.0037672493822822448,0.04856833440565894,905,32,5023,0.18342749529190208,0.15499681731381285,0.5033987929715026
run11,0.0007970881260124674,0.004213872733640182,962,32,6732,0.18342749529190208,0.15499681731381285,0.4238437379240322
run12,5.008392157309942e-05,0.05586078151601246,863,16,6949,0.760075329566855,0.6540115074798619,0.7763189798222417
run13,0.00018140892786159955,0.03132217900165737,564,32,2063,0.7265536723163842,0.635496405511549,0.7656599255930956
run14,0.001800658501491856,0.0003169025741553768,624,16,1766,0.18342749529190208,0.15499681731381285,0.46169029452101507
run15,3.511031130949903e-05,0.004388039848507135,509,16,1694,0.7958568738229755,0.6645745650921283,0.7622246679345644
run16,0.0004956788156722681,0.0002799996951305751,880,8,5888,0.18342749529190208,0.15499681731381285,0.3626924577767338
run17,1.991776065282679e-05,0.043329334003955645,465,16,2246,0.735969868173258,0.6228593070307882,0.7358602256453777
run18,0.0005917136387199377,0.00013932459261667884,953,16,8110,0.18380414312617702,0.15550720559697007,0.48296578191654604
run19,0.0015247942632776556,0.08036281771858068,131,16,7490,0.18342749529190208,0.15499681731381285,0.5213247384013882
run20,6.793813123281045e-05,0.16891407712200537,281,16,5729,0.8082862523540489,0.6812784474896398,0.8137497442736235
run21,6.567829634082134e-05,0.022035093178542284,170,32,5398,0.7883239171374764,0.6584979227584742,0.7796424755828668
run22,0.0005793488086267754,0.0005271783742386046,726,32,3021,0.8259887005649718,0.6668450214568961,0.7683365283344825
run23,0.00043583641758513796,0.09468858757069469,102,16,4168,0.18342749529190208,0.15499681731381285,0.4207518166044083
run24,1.9456241922971833e-05,0.13109748084850598,525,32,3699,0.727683615819209,0.6272791366294632,0.7252390568053525
run25,1.0348188517635337e-05,0.0005602123992720943,834,16,2499,0.6986817325800376,0.6019150062299177,0.6666341483743379
